City,Lat,Lon,Maximum Temp,Humidity,Cloudiness,Wind,Country,Date
aklavik,68.2191,-135.0107,-7.6,71,90,11.5,CA,1612657781
carutapera,-1.195,-46.02,79.29,83,68,6.46,BR,1612657782
mweka,-4.85,21.5667,68.27,93,63,1.61,CD,1612657782
hay river,60.8156,-115.7999,-31.0,61,65,4.61,CA,1612657782
olafsvik,64.8945,-23.7142,34.21,82,61,15.26,IS,1612657782
ughelli,5.4899,6.0074,79.99,86,10,4.07,NG,1612657782
kaitangata,-46.2817,169.8464,64.99,73,3,4.0,NZ,1612657541
arman,59.7,150.1667,8.51,87,100,13.67,RU,1612657782
nago,26.5881,127.9761,69.8,68,40,6.91,JP,1612657783
esperance,-33.8667,121.9,60.8,94,90,13.8,AU,1612657783
prince rupert,54.3161,-130.3201,41.0,75,90,5.75,CA,1612657783
chuy,-33.6971,-53.4616,67.64,80,0,10.04,UY,1612657783
ayan,56.45,138.1667,-3.23,90,100,14.85,RU,1612657747
zabid,14.1951,43.3152,71.53,76,8,5.93,YE,1612657784
lichinga,-13.3128,35.2406,63.37,100,100,5.64,MZ,1612657784
saint george,37.1041,-113.5841,61.0,14,1,10.36,US,1612657601
pangody,65.85,74.4859,-19.07,86,77,15.66,RU,1612657785
atherton,53.5237,-2.4935,37.99,81,99,5.01,GB,1612657785
paamiut,61.994,-49.6678,24.76,80,0,5.08,GL,1612657490
fortuna,40.5982,-124.1573,52.0,87,1,12.66,US,1612657493
kapaa,22.0752,-159.319,71.6,53,75,5.75,US,1612657785
almaznyy,48.0448,40.045,21.2,79,20,8.95,RU,1612657785
airai,-8.9266,125.4092,68.13,88,82,3.51,TL,1612657785
mayo,38.8876,-76.5119,43.0,61,1,4.61,US,1612657785
port hardy,50.6996,-127.4199,44.6,75,75,9.22,CA,1612657786
ovsyanka,55.9575,92.5519,24.8,86,40,6.71,RU,1612657786
beyneu,45.3167,55.2,30.02,83,89,6.06,KZ,1612657786
mandalgovi,45.7625,106.2708,4.28,86,0,7.96,MN,1612657786
chokurdakh,70.6333,147.9167,-22.81,86,38,3.33,RU,1612657551
hovd,48.0056,91.6419,6.76,91,25,1.12,MN,1612657786
margate,51.3813,1.3862,37.99,85,100,7.0,GB,1612657786
labrea,-7.2586,-64.7981,75.78,94,100,0.98,BR,1612657787
namibe,-15.1961,12.1522,71.2,79,28,6.58,AO,1612657787
kruisfontein,-34.0033,24.7314,64.0,89,22,1.01,ZA,1612657787
butaritari,3.0707,172.7902,81.21,80,92,20.56,KI,1612657726
gurupa,-1.405,-51.64,77.95,79,24,4.25,BR,1612657787
moindou,-21.6924,165.677,86.0,66,75,8.05,NC,1612657787
saint-paul-les-dax,43.7272,-1.0516,45.0,92,85,4.83,FR,1612657787
rawson,-43.3002,-65.1023,58.71,69,75,22.19,AR,1612657787
marzuq,14.4,46.4667,57.34,73,0,1.32,YE,1612657787
samarai,-10.6167,150.6667,85.84,68,84,5.12,PG,1612657602
nova granada,-20.5339,-49.3142,75.2,46,0,3.44,BR,1612657788
carrollton,32.9537,-96.8903,51.8,66,75,14.97,US,1612657788
waterfoot,53.6929,-2.2525,34.0,97,100,1.01,GB,1612657789
arroio grande,-32.2375,-53.0869,68.59,74,0,5.53,BR,1612657789
antananarivo,-18.9137,47.5361,64.4,100,75,1.14,MG,1612657550
orbetello,42.4408,11.2196,59.0,63,40,12.66,IT,1612657789
katsuura,35.1333,140.3,53.6,46,0,1.14,JP,1612657497
whangamata,-37.2,175.8667,71.01,57,96,5.99,NZ,1612657790
mount gambier,-37.8333,140.7667,60.8,77,90,14.97,AU,1612657790
moerai,-22.4333,-151.3333,81.75,69,2,10.42,PF,1612657790
nemuro,43.3236,145.575,23.0,86,75,8.05,JP,1612657790
nizhniy kuranakh,58.8353,125.4869,-22.5,82,88,1.36,RU,1612657790
roald,62.5833,6.1333,26.6,68,0,10.36,NO,1612657791
norman wells,65.282,-126.8329,-25.6,68,75,2.3,CA,1612657791
narsaq,60.9167,-46.05,20.32,78,36,2.59,GL,1612657791
bethel,41.3712,-73.414,35.6,38,1,4.61,US,1612657791
saint anthony,45.0205,-93.218,-4.0,59,1,14.97,US,1612657791
srivardhan,18.0333,73.0167,72.12,36,26,5.95,IN,1612657791
ribeira grande,38.5167,-28.7,61.05,87,98,22.12,PT,1612657792
nyurba,63.2842,118.3319,-31.09,84,25,2.98,RU,1612657792
vao,-22.6667,167.4833,77.58,81,0,4.52,NC,1612657792
roma,43.2128,-75.4557,23.0,50,1,4.61,US,1612657792
tecoanapa,16.5167,-98.75,81.37,64,11,9.71,MX,1612657792
broome,42.2506,-75.833,24.8,33,1,3.44,US,1612657792
skibbereen,51.55,-9.2667,37.4,87,20,8.05,IE,1612657792
soyo,-6.1349,12.3689,79.72,85,98,6.87,AO,1612657793
tiznit,29.5833,-9.5,48.51,85,37,13.69,MA,1612657793
ambon,-3.6954,128.1814,84.2,79,40,4.61,ID,1612657745
torbay,47.6666,-52.7314,45.0,100,90,18.41,CA,1612657793
megion,61.0296,76.1136,33.8,93,90,13.42,RU,1612657794
beringovskiy,63.05,179.3167,-6.3,89,65,10.94,RU,1612657589
saint albans,51.75,-0.3333,39.0,93,90,16.11,GB,1612657759
aleksandrovsk-sakhalinskiy,50.8975,142.1561,0.66,91,100,5.48,RU,1612657794
port hawkesbury,45.6169,-61.3485,33.8,69,90,16.11,CA,1612657794
magadan,59.5667,150.8,10.71,87,100,11.25,RU,1612657794
kawalu,-7.3817,108.2082,74.34,84,76,4.25,ID,1612657794
ancud,-41.8697,-73.8203,66.2,52,0,6.91,CL,1612657559
cessnock,-32.8333,151.35,82.0,60,26,3.29,AU,1612657724
laminusa,5.5549,120.9136,81.36,73,100,1.88,PH,1612657795
panama city,8.9936,-79.5197,82.4,78,75,10.36,PA,1612657795
sao joao da barra,-21.6403,-41.0511,71.13,96,100,15.66,BR,1612657795
gushikawa,26.3544,127.8686,69.8,68,40,6.91,JP,1612657569
west wendover,40.7391,-114.0733,55.4,18,1,13.8,US,1612657795
melo,-32.3667,-54.1833,68.97,62,0,3.2,UY,1612657795
khartoum,15.5518,32.5324,64.99,29,0,6.91,SD,1612657795
majene,-3.5403,118.9707,80.92,77,98,2.1,ID,1612657796
cairo,30.0626,31.2497,55.4,88,0,9.22,EG,1612657583
cidreira,-30.1811,-50.2056,69.48,74,70,5.32,BR,1612657796
hirara,24.8,125.2833,69.8,78,20,1.14,JP,1612657796
kailua,21.4022,-157.7394,78.8,47,20,13.8,US,1612657796
mount isa,-20.7333,139.5,77.0,94,75,6.91,AU,1612657796
cherskiy,68.75,161.3,-5.51,80,0,4.85,RU,1612657796
noumea,-22.2763,166.4572,86.0,66,75,8.05,NC,1612657796
la ronge,55.1001,-105.2842,-22.0,63,85,4.61,CA,1612657797
inhambane,-23.865,35.3833,76.93,88,83,7.07,MZ,1612657797
valdosta,30.8327,-83.2785,48.2,93,90,5.75,US,1612657797
dhidhdhoo,6.8833,73.1,81.14,68,1,7.96,MV,1612657797
dabola,10.75,-11.1167,77.2,18,76,3.56,GN,1612657797
puerto escondido,15.85,-97.0667,82.4,78,75,5.75,MX,1612657797
yumen,40.2833,97.2,26.58,67,98,1.9,CN,1612657797
ballina,-28.8667,153.5667,84.2,65,16,8.05,AU,1612657797
yar-sale,66.8333,70.8333,-30.05,85,100,14.74,RU,1612657759
shipunovo,52.1582,82.2173,28.94,93,44,10.92,RU,1612657798
bambous virieux,-20.3428,57.7575,77.0,83,40,4.61,MU,1612657556
provideniya,64.3833,-173.3,2.03,89,35,5.1,RU,1612657798
elburg,52.4475,5.8431,30.0,90,100,3.0,NL,1612657798
ilhabela,-23.7781,-45.3581,73.74,73,51,2.42,BR,1612657798
brownfield,33.1812,-102.2744,55.99,17,0,3.53,US,1612657798
thompson,55.7435,-97.8558,-27.4,68,75,13.8,CA,1612657798
monrovia,6.3005,-10.7969,75.2,100,20,7.49,LR,1612657798
imbituba,-28.24,-48.6703,73.4,73,0,5.75,BR,1612657799
souillac,-20.5167,57.5167,77.0,83,40,4.61,MU,1612657544
ketchikan,55.3422,-131.6461,37.4,80,75,9.22,US,1612657799
lodja,-3.4833,23.4333,70.16,89,90,0.87,CD,1612657799
marsh harbour,26.5412,-77.0636,75.2,84,0,17.18,BS,1612657799
talara,-4.5772,-81.2719,80.6,65,0,9.22,PE,1612657799
palmer,42.1584,-72.3287,35.6,35,20,8.05,US,1612657800
touros,-5.1989,-35.4608,78.8,83,20,4.61,BR,1612657564
san quintin,30.4833,-115.95,63.77,61,0,10.83,MX,1612657800
upernavik,72.7868,-56.1549,18.88,76,90,3.6,GL,1612657800
belomorsk,64.5232,34.7668,12.36,96,100,5.1,RU,1612657801
hambantota,6.1241,81.1185,71.6,100,0,3.44,LK,1612657801
port lincoln,-34.7333,135.8667,62.37,67,99,11.65,AU,1612657801
grand forks,47.9417,-97.4337,-9.4,64,1,12.66,US,1612657798
pisco,-13.7,-76.2167,73.4,78,75,9.22,PE,1612657802
anadyr,64.75,177.4833,-9.0,77,0,6.71,RU,1612657802
kahului,20.8947,-156.47,78.8,47,20,10.36,US,1612657802
kulykivka,51.3735,31.6466,4.28,93,0,6.96,UA,1612657803
dakar,14.6937,-17.4441,64.4,77,88,13.8,SN,1612657690
taoudenni,22.6783,-3.9836,60.71,33,97,10.87,ML,1612657803
santa catalina,9.3337,122.8637,82.4,83,20,6.91,PH,1612657804
ahipara,-35.1667,173.1667,70.07,64,96,2.13,NZ,1612657804
batemans bay,-35.7167,150.1833,73.99,71,6,4.0,AU,1612657663
constitucion,-35.3333,-72.4167,57.87,87,33,4.61,CL,1612657806
sangar,63.9242,127.4739,-35.93,79,21,7.16,RU,1612657806
santa maria,-29.6842,-53.8069,68.0,94,0,0.98,BR,1612657806
lebu,-37.6167,-73.65,58.21,94,84,2.51,CL,1612657807
turkistan,43.0,68.0,38.48,89,100,3.22,KZ,1612657807
harper,4.375,-7.7169,79.39,88,6,8.7,LR,1612657549
bengkulu,-3.8004,102.2655,76.84,74,100,4.21,ID,1612657565
natal,-5.795,-35.2094,78.8,83,20,4.61,BR,1612657808
silva jardim,-22.6508,-42.3917,68.68,88,100,2.33,BR,1612657809
bonnyville,54.2668,-110.735,-14.8,58,20,2.3,CA,1612657809
lufilufi,-13.8745,-171.5986,77.0,94,90,11.5,WS,1612657809
pamanukan,-6.2842,107.8106,79.27,87,100,11.23,ID,1612657810
satana,20.5833,74.2,57.4,36,0,2.51,IN,1612657810
srednekolymsk,67.45,153.6833,-12.86,83,0,1.83,RU,1612657810
egvekinot,66.3167,-179.1667,-3.78,79,0,8.72,RU,1612657810
ngunguru,-35.6167,174.5,69.01,80,100,8.01,NZ,1612657810
kozhva,65.1073,57.0459,-31.11,83,100,11.39,RU,1612657810
petropavlovsk-kamchatskiy,53.0452,158.6483,26.6,63,40,20.13,RU,1612657551
guerrero negro,27.9769,-114.0611,65.89,47,0,12.28,MX,1612657811
meulaboh,4.1363,96.1285,76.89,88,82,5.66,ID,1612657811
kushima,31.4583,131.2333,55.4,62,20,16.11,JP,1612657811
bumba,2.1833,22.4667,70.97,58,2,2.21,CD,1612657811
rantepao,-2.9701,119.8978,77.9,71,88,0.65,ID,1612657811
tuatapere,-46.1333,167.6833,71.89,45,2,4.14,NZ,1612657812
mandurah,-32.55,115.7,64.99,94,90,19.57,AU,1612657812
ampanihy,-24.7,44.75,73.67,95,17,3.91,MG,1612657812
cayenne,4.9333,-52.3333,77.0,100,75,2.3,GF,1612657812
sao filipe,14.8961,-24.4956,69.66,74,38,14.81,CV,1612657755
juneau,58.3019,-134.4197,23.0,50,20,11.5,US,1612657813
deputatskiy,69.3,139.9,-33.45,83,28,1.52,RU,1612657813
nerchinskiy zavod,51.3088,119.61,-16.74,85,88,0.87,RU,1612657813
bermeo,43.4209,-2.7215,44.6,93,75,2.3,ES,1612657813
firozpur,30.9167,74.6,51.8,71,0,3.44,IN,1612657644
senekal,-28.3197,27.6208,63.63,76,82,3.8,ZA,1612657813
aykhal,66.0,111.5,-31.7,82,3,9.19,RU,1612657814
tiksi,71.6872,128.8694,-26.0,84,100,4.85,RU,1612657814
eureka,40.8021,-124.1637,55.0,76,0,8.99,US,1612657658
laguna,38.421,-121.4238,64.99,45,1,5.75,US,1612657538
lorengau,-2.0226,147.2712,84.69,73,97,5.03,PG,1612657814
caravelas,-17.7125,-39.2481,78.03,86,100,10.27,BR,1612657815
saint-francois,46.4154,3.9054,48.2,100,90,6.91,FR,1612657815
severo-kurilsk,50.6789,156.125,21.87,94,99,23.51,RU,1612657724
polunochnoye,60.8697,60.4153,-17.57,89,100,12.77,RU,1612657815
tezu,27.9167,96.1667,58.15,34,78,3.04,IN,1612657760
bronnoysund,65.4625,12.1997,23.0,80,18,4.61,NO,1612657815
havelock,34.8791,-76.9013,45.0,57,90,6.91,US,1612657816
ostrovnoy,68.0531,39.5131,8.42,91,100,9.86,RU,1612657561
strezhevoy,60.7333,77.5889,33.8,93,90,13.42,RU,1612657816
turukhansk,65.8167,87.9833,-3.41,89,100,12.39,RU,1612657816
dudinka,69.4058,86.1778,-34.42,80,0,9.15,RU,1612657816
mehkar,20.1508,76.569,55.78,42,0,6.62,IN,1612657817
tateyama,34.9833,139.8667,55.4,62,20,6.91,JP,1612657817
sovetskiy,61.3614,63.5842,-9.87,90,100,13.53,RU,1612657817
elizabeth city,36.2946,-76.2511,44.01,61,75,3.44,US,1612657817
ugoofaaru,5.6667,73.0,81.39,72,23,10.45,MV,1612657817
muhos,64.808,25.9931,12.2,85,0,10.36,FI,1612657818
buala,-8.145,159.5921,79.48,79,100,7.02,SB,1612657818
briancon,44.9,6.65,41.0,89,98,3.83,FR,1612657819
khipro,25.8285,69.3772,54.09,37,0,3.42,PK,1612657819
sola,-13.8833,167.55,82.17,71,34,4.7,VU,1612657563
kavieng,-2.5744,150.7967,85.57,64,50,4.05,PG,1612657819
port macquarie,-31.4333,152.9167,84.0,51,100,5.01,AU,1612657819
klaksvik,62.2266,-6.589,33.8,69,40,14.97,FO,1612657761
coihaique,-45.5752,-72.0662,71.6,35,0,18.41,CL,1612657591
lazaro cardenas,17.9583,-102.2,75.49,72,0,3.31,MX,1612657820
makakilo city,21.3469,-158.0858,78.8,44,1,13.8,US,1612657820
lasa,46.6166,10.7002,39.99,100,90,11.5,IT,1612657820
saint-marc-des-carrieres,46.6834,-72.0491,17.6,73,0,4.61,CA,1612657820
mossendjo,-2.9506,12.7261,70.38,96,27,1.77,CG,1612657820
kpandae,8.4689,-0.0113,82.56,55,100,7.02,GH,1612657820
pokhara,28.2333,83.9833,47.44,49,0,4.07,NP,1612657820
jacareacanga,-6.2222,-57.7528,74.59,95,100,1.16,BR,1612657574
novyy urengoy,66.0833,76.6333,-19.23,87,100,14.54,RU,1612657821
port blair,11.6667,92.75,78.93,74,0,8.12,IN,1612657821
wasilla,61.5814,-149.4394,23.0,86,1,1.28,US,1612657821
leningradskiy,69.3833,178.4167,-10.07,74,29,5.01,RU,1612657821
kodiak,57.79,-152.4072,37.4,60,1,9.22,US,1612657678
arlit,18.7369,7.3853,62.96,25,18,5.95,NE,1612657821
nioro,13.35,-15.75,70.02,27,79,10.25,GM,1612657822
strelka,58.0728,93.0344,25.56,97,100,7.25,RU,1612657822
golkoy,40.6875,37.6178,48.2,71,0,11.61,TR,1612657822
dalen,52.6992,6.7556,28.99,80,100,17.0,NL,1612657822
cabedelo,-6.9811,-34.8339,78.8,83,20,4.61,BR,1612657822
bahile,9.9995,118.7878,84.2,70,40,13.8,PH,1612657823
kupang,-10.1667,123.5833,82.4,94,20,10.36,ID,1612657823
isangel,-19.55,169.2667,86.0,79,20,5.75,VU,1612657823
micheweni,-4.9667,39.8333,80.33,77,96,6.98,TZ,1612657824
wilmington,34.2257,-77.9447,48.99,66,90,6.91,US,1612657658
gat,31.61,34.7642,55.99,100,1,1.12,IL,1612657741
elko,41.0002,-115.5012,50.0,27,1,18.41,US,1612657748
cedar city,37.6775,-113.0619,51.8,19,1,10.36,US,1612657824
kedrovyy,56.1667,91.8167,24.8,86,40,6.71,RU,1612657824
champerico,14.3,-91.9167,84.2,61,20,6.91,GT,1612657757
batagay-alyta,67.8006,130.4114,-26.18,84,99,2.19,RU,1612657598
ormara,25.2088,64.6357,66.25,44,0,7.85,PK,1612657825
muros,42.7762,-9.0603,37.99,94,66,3.0,ES,1612657825
north platte,41.1239,-100.7654,10.4,67,90,8.05,US,1612657825
mangrol,21.1167,70.1167,64.31,37,0,12.64,IN,1612657825
svobodnyy,51.4,128.1333,-15.2,86,0,7.07,RU,1612657825
marystown,47.1666,-55.1483,38.28,91,100,20.4,CA,1612657825
aginskoye,51.1,114.53,-7.6,87,47,4.61,RU,1612657826
alice springs,-23.7,133.8833,84.99,29,8,16.11,AU,1612657826
santa rosa,14.3122,121.1114,84.0,78,40,10.54,PH,1612657826
te anau,-45.4167,167.7167,73.13,43,4,3.36,NZ,1612657602
nabire,-3.3667,135.4833,79.74,75,100,0.43,ID,1612657826
mahina,-17.5065,-149.489,86.0,54,20,12.66,PF,1612657826
tautira,-17.7333,-149.15,86.0,54,20,12.66,PF,1612657826
ocean city,39.2776,-74.5746,42.8,42,1,3.44,US,1612657826
izazi,-7.2,35.7333,68.0,83,75,5.75,TZ,1612657827
nanortalik,60.1432,-45.2371,24.17,87,100,9.69,GL,1612657827
college,64.8569,-147.8028,-5.01,71,90,0.89,US,1612657827
lata,40.1629,-8.3327,51.01,82,87,1.01,PT,1612657827
shingu,33.7333,135.9833,51.8,62,40,6.91,JP,1612657827
balykshi,47.0667,51.8667,15.8,79,0,6.71,KZ,1612657827
ayni,39.3941,68.5377,38.35,69,100,9.13,TJ,1612657827
debre birhan,9.6833,39.5333,46.18,94,98,5.12,ET,1612657827
sosnovo-ozerskoye,52.5249,111.5418,-10.35,89,76,4.68,RU,1612657756
makokou,0.5738,12.8642,70.88,91,75,2.57,GA,1612657828
antalaha,-14.9003,50.2788,75.04,85,100,4.12,MG,1612657828
bodden town,19.2833,-81.25,81.0,78,20,11.5,KY,1612657828
naples,40.8333,14.25,57.99,71,0,3.44,IT,1612657703
sur,22.5667,59.5289,62.19,65,0,6.24,OM,1612657828
takoradi,4.8845,-1.7554,79.63,87,0,10.4,GH,1612657828
renfrew,55.872,-4.3925,36.0,93,90,14.97,GB,1612657828
farafenni,13.5667,-15.6,69.33,27,82,9.91,GM,1612657829
forli,44.2236,12.0528,46.99,93,100,1.77,IT,1612657829
abu samrah,35.3029,37.1841,49.06,73,0,4.54,SY,1612657829
iraan,30.914,-101.8979,63.0,5,0,1.99,US,1612657829
kabarnet,0.4919,35.743,56.43,79,0,1.68,KE,1612657829
gigmoto,13.7796,124.39,80.82,81,89,13.06,PH,1612657829
rodrigues alves,-7.738,-72.6509,76.1,85,3,1.52,BR,1612657829
weston,26.1004,-80.3998,73.4,94,90,3.44,US,1612657830
luangwa,-15.6167,30.4167,72.72,93,100,1.68,ZM,1612657830
chicama,-7.8447,-79.1469,69.8,88,75,11.5,PE,1612657830
krasnyy klyuch,55.3863,56.6529,-2.92,90,100,14.05,RU,1612657830
jieshi,22.8134,115.8257,64.99,75,0,13.98,CN,1612657830
milford,41.2223,-73.0565,41.0,38,1,10.36,US,1612657831
necochea,-38.5473,-58.7368,62.01,80,0,4.0,AR,1612657538
the valley,18.217,-63.0578,78.8,83,40,11.5,AI,1612657564
sorong,-0.8833,131.25,82.17,77,100,1.43,ID,1612657831
yurty,56.0498,97.6348,16.27,95,93,5.3,RU,1612657832
tessalit,20.1986,1.0114,71.76,18,89,13.24,ML,1612657770
fairlie,55.756,-4.8556,37.0,85,97,7.0,GB,1612657832
sukumo,32.9333,132.7333,56.17,61,0,8.48,JP,1612657833
paulista,-7.9408,-34.8731,78.8,73,20,6.91,BR,1612657833
talnakh,69.4865,88.3972,-29.31,72,0,1.83,RU,1612657833
birjand,32.8663,59.2211,44.6,15,0,11.5,IR,1612657833
hualmay,-11.0964,-77.6139,71.01,78,100,8.28,PE,1612657833
chifeng,42.2683,118.9636,5.67,87,0,5.01,CN,1612657833
vila velha,-20.3297,-40.2925,82.0,88,75,4.61,BR,1612657758
clyde river,70.4692,-68.5914,-9.4,77,75,4.27,CA,1612657833
tauranga,-37.6861,176.1667,71.01,57,100,5.99,NZ,1612657617
hinton,53.4001,-117.5857,-0.4,60,100,6.91,CA,1612657834
tarko-sale,64.9225,77.785,-6.18,91,100,15.39,RU,1612657751
kapit,2.0167,112.9333,75.27,95,100,1.57,MY,1612657834
vardo,70.3705,31.1107,27.25,96,100,27.67,NO,1612657744
